Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Aadland	Erik		C	CO07	2022	1/17/2022	10044401
Hon.	Allen	Richard W.		P	GA12	2022	2/13/2022	20020448
Hon.	Allen	Richard W.		P	GA12	2022	3/9/2022	20020585
	Andersen	Carl E.		C	CO07	2022	3/24/2022	10044558
Mr.	Awtrey	Patrick Eugene		C	OH14	2022	1/4/2022	10044323
Hon.	Axne	Cindy		P	IA03	2022	2/8/2022	20020367
Hon.	Axne	Cindy		P	IA03	2022	3/7/2022	20020474
Mr.	Bailey	Scott Christian		C	CO01	2022	3/28/2022	10044733
	Barnes-Israel	Stu		C	IN09	2022	4/1/2022	10044636
	Basler	Douglas Michael		C	WA09	2022	3/1/2022	10044650
	Baugh	Scott		X	CA47	2022	1/26/2022	30015256
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	1/1/2022	20020047
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	2/1/2022	20020251
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	3/3/2022	20020354
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	4/1/2022	20020618
Hon.	Blumenauer	Earl		P	OR03	2022	1/6/2022	20020168
Hon.	Blumenauer	Earl		P	OR03	2022	2/7/2022	20020399
Hon.	Blumenauer	Earl		P	OR03	2022	3/7/2022	20020574
Hon.	Blumenauer	Earl		P	OR03	2022	3/22/2022	20020670
Hon.	Blumenauer	Earl		P	OR03	2022	4/1/2022	20020675
	Bomer	Articia		D	MI13	2022	1/26/2022	40003301
Hon.	Brooks	Mo		P	AL05	2022	3/21/2022	20020661
Hon.	Buchanan	Vern		P	FL16	2022	1/17/2022	20020238
Hon.	Buchanan	Vern		P	FL16	2022	3/24/2022	20020684
Hon.	Burgess	Michael C.		P	TX26	2022	1/27/2022	20020305
Hon.	Burgess	Michael C.		P	TX26	2022	2/10/2022	20020315
Hon.	Burgess	Michael C.		P	TX26	2022	3/3/2022	20020545
Hon.	Burgess	Michael C.		P	TX26	2022	3/23/2022	20020632
	Campbell	William		C	UT01	2022	3/7/2022	10044673
	Cannon	Tina		X	UT01	2022	3/16/2022	30015279
Dr.	Carcamo	Rafael		C	CA35	2022	4/1/2022	10044741
Hon.	Carter	Earl Leroy		P	GA01	2022	2/9/2022	20020422
Hon.	Chu	Judy		P	CA27	2022	1/29/2022	20020330
Hon.	Cohen	Steve		P	TN09	2022	2/15/2022	20020462
Hon.	Cole	Tom		P	OK04	2022	1/19/2022	8218534
Hon.	Costa	James M.		P	CA16	2022	3/30/2022	8218624
Mr.	Cowen	Martin Lindsey	III	W		2022		8218586
Mr.	Cowen	Martin Lindsey	III	W	GA13	2022	2/11/2022	7828
Hon.	Crenshaw	Daniel		P	TX02	2022	1/10/2022	20020189
Hon.	Crenshaw	Daniel		P	TX02	2022	1/10/2022	20020197
Hon.	Crenshaw	Daniel		P	TX02	2022	2/2/2022	20020310
	Crispi	Michael		C	NJ04	2022	1/29/2022	10044486
Hon.	Curtis	John		P	UT03	2022	2/2/2022	20020133
